address	scripthash_hex	balance_sats	balance_btc
1JcjSkw36Zp2FhLZLfWR273PXtp7MPEm8h	044578a5c2a127af7d13432a364257f1a3d1be802578a0ec9923729e3f59f47d	2000000547	20.00000547
3A88PvVTgF6uKjbyajLamHzXoyN3jZ3osJ	0477fd46063fd87988871f6bca14d15e2f5a3857fa40d73ac4256ede84c7b836	2000501094	20.00501094
19htT1RQQAEiZhtsW1HogEV34XoRjd48Wm	049d6448a4df1f729e8e18772b5273744419d7e62280d7b485b4def99ae92295	1999000001	19.99000001
18r81P7Qz9akGvZUcSCMG6uC2BTKwMHxXS	04bf61c093a30924ff47499658937442ebf811f4bf8c2ada9d0e2b5b8d4c3fa8	2000000547	20.00000547
13LdySjoDUwDia61ggAxAfbq3xdAwYngBZ	04ca2cfd718a484f14414625b27d6a50a9fc3220de30a7d34f94446f187637fc	1987554283	19.87554283
18deZmx7FszzqwH2XJvcCd93Wg5wMJWN7w	04cdb80d8d5b90d288fb7b11285dd36b8fdc9eedff13b474a1b61f0533c8182b	2000001094	20.00001094
bc1q9kyj7xt8mkaf35n56a5j47wys6z8t0yvhvwkv6	051d3451c5157992782cb5d991d193d9b2872a726edc000a69f89cdb3d87dad8	2000100330	20.00100330
15DhUqbhpiKbqgHMpEhJM4Ugh5Rz9SDSKL	053e2965c5863bd74d3a764fa05ae3d93911f17572847b577ab2559d6e99e768	1967140000	19.67140000
3N7a9V2QnMsYg9c5EscH2bM9QUsSgGNGpm	054897b0c3e75cfc1ce498edfbede2dd302b93053b60f52bfd81931361c891b4	2000000652	20.00000652
bc1qvqrwpjvr5hzj490xmp33cyacmf2tu6u80wrm68	055a75afa0fd13ef0f1e1c9a5582248a08a888d2e98aadd1b8a9db69e480b12f	2008172565	20.08172565
1Htwda6nXJJxtbaVNcZcNfjqVMjpjLJMZD	05748aeff4e2d7c3c88967f776079cd5245f8e4e6a5c9f58b9709523787f8275	2000000547	20.00000547
1GRNXD9b6kDdzLxhFKBMU1YY1zHLgv5RFk	058a9d836c70f107bddbbc508ff1f95af9a6a2e08b93fad82ec2afee52823098	1984439763	19.84439763
1QHFmH4f1Zjzgj8FFfnK1UsJxtyssnhhzs	05b063f6cbc49833760a8b99cdd4b96abd94c0e4fefc58aae72ad0852953b69b	2000000000	20.00000000
12h54KzMsz7d4mWSrJct1XRCozLHnjFcoe	05d305252c377d9216c41e2213c60fa48048f2d360301808c9fd96d8544233b6	2000002190	20.00002190
19SMW5PKd4v1B4RjZiS5MnVfpkwfoszUmp	05dc543e73d133c9985ab4bd320a2d176aa52520dddb0204bb52cd496922af67	1993199000	19.93199000
19YYjghqqcnn6SfVmp7nssJAHzScKsCjyL	05e27b09fc08cd087e7f3a7d57c7fb10f06bb1241f4189dc8246ca1cef43de3a	2000001094	20.00001094
1Ev2vWWhpcqpQgYwxC2RFVpt7Yuy45ro5B	05e92919df5e0839328463aa4edbbf43a74204295dc572556faa32634f83db1c	2034753937	20.34753937
1C5ToDw9gXgRtNaGYSNiLwcFuKU4ncWrBF	0629805bd7df32018671acdd757a1c1857f9e92d74572e7205d66079812cc52a	2000001094	20.00001094
1JeujsPzf3RqdzRXQTjGo182FGTgQwjFMJ	067fb0bc5dfc6f18ef6d030c3f9728c0ee78c39e26f4f97c9904d4776a431090	2000000845	20.00000845
18Xn4yvXLyyA43ePcBTj2cYtvUE2dhwZ5o	0686779ca81bc8089ccb13b77f23dac5150540dada0a5d99ae5e030c2bac513f	2000000547	20.00000547
1AYKV7SBTZge9RckQuCLzMcvYQgFYFmGYZ	06d81f94f0c2c038903316ca65349aef5c7e75975a20eeb5b6cccddf69662021	2000372286	20.00372286
3PtMDVa8oPTdu5P8b5PTUbDUJBeZibqLhp	06f0ef2aa0fb3bf83edbba8d6562f110887fc4c42408ebaf1576f8f086a4e13e	1963713174	19.63713174
3GjXazZmy8w36gaAyVbKLHeG6QJaWLzjCe	071bdecc0127268dee3b4ef4f08d9d3462ed114327e6e885c1da41fb4b382619	1995313582	19.95313582
12TCe3qkG7GwcEPPZfL6jeQHaEjskRRzo3	072ff92b2bcd56f6a3c0f8a278073fe3b6ef204a1d3c566751d58eba487cb1cc	2000099325	20.00099325
3MLdiPKreugDVf6AugsRW4hY4BbMCDxNYh	07483993e725e2a8ea2e42bff31a4a8354257312b745144646dbe5538776ffdb	2000001094	20.00001094
