address	funding_txid	block_height	block_time	value_sats	value_btc	script_type	priority_tier	tier_name	fr1_window	fr3_confirmed
1FB1atnJGirLCe58YZcRkmGeZG3kdFkZDR	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Fu7bqgc13gTprdtuYZdLMpBF3A7HgULHU	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1G875vuHQaWmp96q4YHiHVi9yg5Nsq7D59	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1GBcyigDiiA2QY8F7FcgH9P7MvniRSM5wT	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1GBvQf3pFXUfwVadLicZmErVoHaJcUS3kA	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1GGgBbjS3WVNvaaFroNMi2nqXEb36G8TMj	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1GtcZ7m5pM6P9d6Cfpx1zkTkRGEhKFqdHL	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1H7bHiF66KkTZPHfuAkj22svZNx24Vj715	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1H8Ki8vUU6qeMMWgkaPSJwwRv3rRYuuU64	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1HXXdNrbemJJQHbqoHv5TacCoJoE1JQ6fa	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1K8LU9o4Tkf8yBV51eGA6DCbL45KKL3hbB	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1K8oCriZTmpMCPXEe2Ye18sM2zotB2mA9r	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1K9a7bECk82JuXWpqXLvRRTwNEgXMnyYER	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Kn75SHuaBw7RpBr95ar6VL2ekWbeLLskF	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1KpNwYdDG7J2ixftonRfWohvhguS1thgBZ	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1LC8egcerzTh4qeqBcwryoPAWp6UYs9wHd	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1LcQCkdMKkcugp9G2ZEP2XX2UTtyx3hB6A	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1LfpGveFRYa2G51JPAtqAm9nQ4P5hn9HXj	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Lh9C6SoirosDSvWzwzXqeX6FMiDbqS7Jy	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Lhhbm3Ke8yqYde4J3StmG63SeCCE6oZz7	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Lo7kpYJ9D4Yq5sMr89wnevKPm77KACz1b	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1MB3e2gCtTGQDtUdQPTBJgRg2ByC7dkwEi	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1NhS8sLyU9CHKFS4gkNzqX6Rk31X5Wm9kA	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Nth8yiRe3yMMB8RV82uKC6JzLtDTNbDWb	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1Nvy6kMBDSvTr7Teo7yFnjBk3EAgu7icqM	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
1P7oirMpiwCSMXzRatrt4XRLcVQ1CxwtKW	PENDING	PENDING	PENDING	2000000000	20.00000000	p2pkh	1	exact-20 + legacy P2PKH	PENDING	PENDING
