scripthash_hex	balance_sats	balance_btc
194d5f1952a06b72dac66d37e1a5c2a52234bd041830697f90fefb690119a2ba	5942192035	59.42192035
19d08a74037eae9ae2645e73209dd85476c9803373341c3ce3529102da1c04ef	5894567703	58.94567703
1aa202dfe32305b352f85b83a95838c6a9bf34d381d2e7e6de665a0dcf61ee72	5852976100	58.52976100
1ac5aa0706581147cbaad03f289df6523e6128462e84c3cb142a05aa4c9df75c	5999999322	59.99999322
1aead9151e5c3bd51cbc9421665ef90a121f026f67e7a933f55373f8147bd17d	5999825193	59.99825193
1b02d16a0968deb747ad9cb52011b9390a2f75ad901e700af63cc2c5b4f0cb29	5874654099	58.74654099
1b2f37fcf3cd7bb65470bc1868528852e1e036fe500043d4ee6932cf3d971f7f	5872281231	58.72281231
1b4842d80e2f68bdc74de788cf4409cd2957cecb0210cc89f64e9ec10162194c	5912733600	59.12733600
1b49cbb4d94a5ec3272212e22a88c516aa8ceecb0de919e71311b13e428b8d79	5999985515	59.99985515
1c2077c4539d16febddc60a82dcefb501d9ee727544575262d8702545e853b01	5999907527	59.99907527
1c9a8994196a207165519363ee4b4b50739fc8cf5f9f97882766f948b3834fb8	6002000000	60.02000000
1d1541f52e2f16c02f837764fa88dc1b9dadd276309855bc131725cf0146155b	6124808572	61.24808572
1e0d166df6b1d8197e490dee84da4f15e0511b995e64ec20259df1461ddc8ee9	5879037286	58.79037286
1eb93999b9265ed84f0e8dc2387faf4416e5cfe401ad4700eca63aa1083d9f94	6116922878	61.16922878
1f208dc564d833da7eb70047cc1a5a96a0cc34c42c71459bf38a5e8562446fa5	5999999453	59.99999453
2017cb208c04c8a2ffa09556e4f24547a7fd03b8acfbf71ee64627ec0c0db064	6115997598	61.15997598
202cccda94a7fec12e2b2bb693a5b582d030a4bb8d0d59dfbeac134ed3197ad2	5995956233	59.95956233
206d9e24445ccfb39f92b30a46abb18eb0647a8fceb69555f0827720387756d3	6000160000	60.00160000
2074d65ca0bebd45f75294714b65760d8c1f20a62d6c25bc720e1cabd583c232	6100000000	61.00000000
216de7f25ec1b65a8075b6f20683f6909c61d8117878cf2f321163dc51d1910c	5999961692	59.99961692
2214f58c36935bb5636d1d200a64d301c8ac9aa254406ed55049565073ae1d8b	6138913289	61.38913289
22929e70fa7c4a0031f457c458815fb26055c5432b0656b53e2a27846636b3d9	6000000000	60.00000000
22b3fb287e9759760f85d66685d646d644d84c185c324d29ae6e9be76d2ce22b	6001000000	60.01000000
24fb15e02bd5af7cb745a03f69219684282675295d6dee08dc3890d7e6ea2597	5855009721	58.55009721
